kaptCode,kaptName,kaptAddr,kaptDongCnt,kaptdaCnt,kaptAcompany,kaptBcompany,codeAptNm,doroJuso,hoCnt,codeHallNm,kaptUsedate,kaptMparea_60,kaptMparea_85,kaptMparea_135,kaptMparea_136,bjdCode
A10023825,강남센트럴아이파크,서울특별시 강남구 역삼동 712-1 강남센트럴아이파크,5,499,개나리4차 재건축조합,현대산업개발,아파트,서울특별시 강남구 테헤란로44길 26,499,계단식,20220428,100,208,166,25,1168010100
A13579506,개나리SKVIEW,서울특별시 강남구 역삼동 716-3 개나리SKVIEW,3,240,개나리5차주택재건축정비조합,SK건설,아파트,서울특별시 강남구 역삼로 315-1,240,계단식,20120817,0,144,96,0,1168010100
A13592002,대우디오빌역삼,서울특별시 강남구 역삼동 720-25 대우디오빌역삼,1,457,대우건설,대우건설,주상복합,서울특별시 강남구 언주로 427,457,복도식,20020625,434,23,0,0,1168010100
A13508003,대우디오빌플러스,서울특별시 강남구 역삼동 824-25 대우디오빌플러스,1,168,플러스하우징,대우건설,아파트,서울특별시 강남구 강남대로84길 33,168,복도식,20040525,168,0,0,0,1168010100
A13508011,래미안그레이튼,서울특별시 강남구 역삼동 762-3 래미안그레이튼,5,464,삼성건설,삼성건설,아파트,서울특별시 강남구 도곡로43길 21,464,계단식,20100604,94,188,182,0,1168010100
A13579505,래미안그레이튼3차,서울특별시 강남구 역삼동 763-16 래미안그레이튼3차,8,476,진달래아파트3차 재건축조합,삼성물산,아파트,서울특별시 강남구 도곡로43길 20,476,계단식,20091228,121,281,0,74,1168010100
A13579503,역삼2차아이파크,서울특별시 강남구 역삼동 765-32 역삼2차아이파크,3,150,신도곡아파트재건축조합,현대산업개발(주),아파트,서울특별시 강남구 도곡로57길 12,150,계단식,20081202,30,87,33,0,1168010100
A13592605,역삼e-편한세상,서울특별시 강남구 역삼동 755-4 역삼e-편한세상,12,840,(주)대림산업,(주)대림산업,아파트,서울특별시 강남구 선릉로69길 20,840,계단식,20051216,513,327,0,0,1168010100
A13592601,역삼개나리래미안,서울특별시 강남구 역삼동 754 역삼개나리래미안,7,438,개나리래미안조합,삼성,아파트,서울특별시 강남구 역삼로 306,438,계단식,20060831,88,133,143,74,1168010100
A13579501,역삼개나리푸르지오,서울특별시 강남구 역삼동 755-1 역삼개나리푸르지오,5,332,대우건설,대우건설,아파트,서울특별시 강남구 역삼로 314,332,계단식,20060814,67,102,85,78,1168010100
A13508002,역삼경남,서울특별시 강남구 역삼동 722 역삼경남,1,164,역삼 주상복합조합,경남기업,주상복합,서울특별시 강남구 언주로85길 13,164,계단식,20020501,0,164,0,0,1168010100
A13591402,역삼금호어울림,서울특별시 강남구 역삼동 835-67 역삼금호어울림,3,183,금호,금호산업(주),아파트,서울특별시 강남구 도곡로7길 22,183,계단식,20031202,0,54,129,0,1168010100
A13508004,역삼동부센트레빌,서울특별시 강남구 역삼동 716 역삼동부센트레빌,1,206,선릉123지여구택조합,동부건설(주),아파트,서울특별시 강남구 선릉로 423,206,계단식,19980421,103,103,0,0,1168010100
A13592706,역삼래미안,서울특별시 강남구 역삼동 757 역삼래미안,12,1050,영동1재건축조합,삼성물산,아파트,서울특별시 강남구 선릉로69길 19,1050,계단식,20051026,722,328,0,0,1168010100
A13508006,역삼래미안펜타빌,서울특별시 강남구 역삼동 713-7 역삼래미안펜타빌,5,288,삼성물산,삼성물산,아파트,서울특별시 강남구 역삼로 309,288,계단식,20071130,0,0,0,288,1168010100
A13508010,역삼쌍용플래티넘밸류,서울특별시 강남구 역삼동 826-37 역삼쌍용플래티넘밸류,3,166,한국자산신탁(주),쌍용건설(주),주상복합,서울특별시 강남구 테헤란로4길 46,166,혼합식,20070119,0,110,56,0,1168010100
A13508009,역삼아이파크,서울특별시 강남구 역삼동 713-11 역삼아이파크,7,541,개나리2차저층재건축조합,현대산업개발(주),아파트,서울특별시 강남구 역삼로 307,541,혼합식,20060928,178,0,240,123,1168010100
A10027474,역삼자이아파트,서울특별시 강남구 역삼동 711-1 역삼자이아파트,3,408,개나리6차아파트주택재건축정비사업조합,GS건설,아파트,서울특별시 강남구 언주로 420,408,혼합식,20160622,104,156,148,0,1168010100
A13592604,역삼푸르지오,서울특별시 강남구 역삼동 754-1 역삼푸르지오,11,738,.,대우건설,아파트,서울특별시 강남구 언주로 332,738,계단식,20060102,376,362,0,0,1168010100
A13508005,역삼한스빌아파트,서울특별시 강남구 역삼동 836 역삼한스빌아파트,1,216,한일합섬,한일합섬,아파트,서울특별시 강남구 도곡로3길 26,216,복도식,19961126,216,0,0,0,1168010100
