kaptCode,kaptName,kaptdPcnt,kaptdPcntu,welfareFacility,educationFacility,convenientFacility,kaptdWtimebus,kaptdWtimesub,subwayStation,subwayLine
A10023825,강남센트럴아이파크,0,904,NA,NA,NA,5~10분이내,5~10분이내,NA,NA
A13579506,개나리SKVIEW,0,387,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소",초등학교(도성) 중학교(진선여중) 고등학교(진선여고),관공서(강남구청) 병원(강남세브란스) 백화점(롯데백화점(도곡점)) 대형상가(이마트) 공원(삼릉),5~10분이내,5~10분이내,선릉역,"2호선, 분당선"
A13592002,대우디오빌역삼,0,330,관리사무소,초등학교(도성초등학교) 중학교(진선여자중학교) 고등학교(진선여자고등학교),관공서(역삼2동사무소) 병원(엘의원),5~10분이내,5~10분이내,역삼,2호선
A13508003,대우디오빌플러스,13,276,관리사무소,초등학교(역삼초등학교) 중학교(진선여자중학교) 고등학교(진선여자고등학교),"관공서(강남,역삼세무서) 병원(새롬치과) 공원(역삼까치공원) 기타(국립중앙도서관)",5~10분이내,5분이내,강남,"2호선, 신분당선"
A13508011,래미안그레이튼,0,626,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소","초등학교(도성초교,도곡초교) 중학교(역삼중교,도곡중교)",병원(강남세브란스병원) 백화점(롯데백화점) 대형상가(이마트),5~10분이내,5분이내,한티,경의중앙선
A13579505,래미안그레이튼3차,0,582,"관리사무소, 노인정, 보육시설, 문고, 주민공동시설, 어린이놀이터, 커뮤니티공간, 자전거보관소","초등학교(도성, 도곡) 중학교(역삼) 고등학교(진선여고)",관공서(역삼2동주민센터) 병원(영동세브란스) 백화점(롯데) 공원(소공원),5분이내,5~10분이내,한티,"2호선, 분당선"
A13579503,역삼2차아이파크,13,187,"관리사무소, 노인정, 어린이놀이터, 자전거보관소","초등학교(도곡초,도성초,대도초) 중학교(역삼중,단대사대부중,숙명여중) 고등학교(중앙사대부고,숙명여고)",병원(조내과) 백화점(롯데백화점),5분이내,5분이내,한티,분당선
A13592605,역삼e-편한세상,0,852,"관리사무소, 보육시설, 어린이놀이터, 휴게시설, 자전거보관소",초등학교(도성초등학교) 중학교(역삼중학교) 고등학교(진선여자고등학교),관공서(역삼2동사무소) 병원(조두환소아과의원) 백화점(롯데백화점-강남) 대형상가(윌마트) 공원(근린공원),5~10분이내,5~10분이내,"2호선 선릉, 분당선 한티역","2호선, 분당선"
A13592601,역삼개나리래미안,0,771,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(도성초등학교) 중학교(역삼중학교) 고등학교(진선여자고등학교),관공서(역삼2동사무소) 병원(영동부부치과) 대형상가(윌마트),5분이내,5~10분이내,"선능, 한티","2호선, 신분당선"
A13579501,역삼개나리푸르지오,0,552,"관리사무소, 노인정, 주민공동시설, 어린이놀이터, 자전거보관소","초등학교(도곡,도성) 중학교(역삼,도곡,단국,숙명여) 고등학교(중대부속,숙명여,진선여)",병원(강남세브란스) 백화점(롯데백화점) 대형상가(이마트) 공원(근린공원),5분이내,5~10분이내,선릉,"2호선, 분당선"
A13508002,역삼경남,0,228,"관리사무소, 어린이놀이터, 휴게시설, 자전거보관소",초등학교(도성초등학교) 중학교(진선여자중학교) 고등학교(진선여자고등학교),관공서(역삼2동사무소) 병원(한서병원),5~10분이내,5~10분이내,역삼,"2호선, 분당선"
A13591402,역삼금호어울림,84,250,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",NA,NA,5분이내,10~15분이내,NA,"2호선, 3호선"
A13508004,역삼동부센트레빌,48,160,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(도성초등학교) 중학교(진선여자중학교) 고등학교(진선여자고등학교),관공서(역삼2동사무소) 병원(신옥산부인과) 공원(대치은행나무공원),5~10분이내,5~10분이내,선릉,2호선
A13592706,역삼래미안,126,927,"관리사무소, 노인정, 보육시설, 주민공동시설, 어린이놀이터, 휴게시설, 유치원, 자전거보관소","초등학교(도성초, 도곡초, 대도초) 중학교(역삼중, 도곡중, 진선여중, 숙명여중) 고등학교(진선여자고, 단국사대부속고, 중대사대부속고,숙명여자고)","관공서(역삼1동사무소) 병원(강남세브란스병원, 베스티안병원) 백화점(롯데백화점-강남) 대형상가(이마트) 공원(도곡공원) 기타(도곡재래시장)",5분이내,5분이내,한티역,"2호선, 3호선, 분당선"
A13508006,역삼래미안펜타빌,0,665,"관리사무소, 노인정, 어린이놀이터, 자전거보관소",초등학교(도성초교) 중학교(진선여중) 고등학교(진선여고),병원(강남 세브란스) 대형상가(이마트) 공원(삼릉공원),5~10분이내,5~10분이내,선릉,"2호선, 분당선"
A13508010,역삼쌍용플래티넘밸류,0,238,"관리사무소, 주민공동시설",초등학교(역삼) 중학교(영동),병원(렌탑치과의원) 공원(역삼까치공원),5분이내,5분이내,강남,"2호선, 신분당선"
A13508009,역삼아이파크,0,914,"관리사무소, 주민공동시설, 어린이놀이터, 휴게시설, 커뮤니티공간, 자전거보관소","초등학교(도곡,도성) 중학교(역삼,도곡,단국,숙명여) 고등학교(중대부속,숙명여,진선여)",관공서(강남구청) 병원(강남성모병원) 백화점(롯데백화점) 대형상가(이마트),5분이내,5~10분이내,선릉,"2호선, 분당선"
A10027474,역삼자이아파트,0,615,"관리사무소, 노인정, 보육시설, 문고, 어린이놀이터, 자전거보관소",초등학교() 중학교() 고등학교(),관공서() 병원(),5분이내,5~10분이내,NA,"2호선, 분당선"
A13592604,역삼푸르지오,0,743,"관리사무소, 노인정, 보육시설, 어린이놀이터, 자전거보관소",초등학교(도성초등학교) 중학교(역삼중학교) 고등학교(진선여자고등학교),"관공서(역삼2동사무소) 병원(강남세브란스병원, 국보한의원) 백화점(롯데백화점) 대형상가(이마트)",5~10분이내,10~15분이내,분당선 한티역. 2호선 선릉역,"2호선, 분당선"
