"kaptCode","kaptName","kaptAddr","kaptDongCnt","kaptdaCnt","codeAptNm","doroJuso","hoCnt","kaptUsedate","kaptMparea_60","kaptMparea_85","kaptMparea_135","kaptMparea_136","bjdCode","kaptdPcnt","kaptdPcntu","subwayLine","num_Hospital","isPark","num_Elm_sch","num_Mid_sch","num_Hi_sch","Subway_new5~10분이내","Subway_new10~15분이내","Subway_new15분초과","Bus_new5~10분이내","Bus_new10분초과","codeHallNm계단식","codeHallNm복도식","codeHallNm타워형","codeHallNm혼합식","kaptBcompanyGS건설(주)","kaptBcompanySK에코플랜트(주)","kaptBcompany경남기업","kaptBcompany그외시공사","kaptBcompany대림산업(주)","kaptBcompany대우건설(주)","kaptBcompany동부건설","kaptBcompany라이프주택","kaptBcompany롯데건설(주)","kaptBcompany삼성","kaptBcompany삼성물산(주)","kaptBcompany삼성중공업","kaptBcompany삼익건설","kaptBcompany신동아","kaptBcompany신동아건설","kaptBcompany쌍용건설(주)","kaptBcompany우성건설(주)","kaptBcompany주택공사","kaptBcompany진흥기업(주)","kaptBcompany컨소시엄시공","kaptBcompany태영건설","kaptBcompany포스코건설(주)","kaptBcompany한신공영(주)","kaptBcompany한양주택(주)","kaptBcompany현대건설(주)","kaptBcompany현대산업개발(주)"
"A10023547","개포상록스타힐스","서울특별시 강남구 일원동 688 개포상록스타힐스",12,1703,"아파트","서울특별시 강남구 영동대로 16",1837,20221031,1703,0,0,0,1168011400,5,1612,"분당선",1,1,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10023825","강남센트럴아이파크","서울특별시 강남구 역삼동 712-1 강남센트럴아이파크",5,499,"아파트","서울특별시 강남구 테헤란로44길 26",499,20220428,100,208,166,25,1168010100,0,904,"2호선, 분당선",1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A10023996","개포더샵트리에","서울특별시 강남구 개포동 651-1 개포더샵트리에",2,232,"아파트","서울특별시 강남구 개포로 311",232,20211201,0,0,232,0,1168010300,8,297,"분당선",0,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A10024102","대치르엘","서울특별시 강남구 대치동 977 대치르엘",6,273,"아파트","서울특별시 강남구 도곡로93길 23",273,20210917,107,164,2,0,1168010600,0,412,"2호선",1,1,0,0,0,0,0,1,1,0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10024131","래미안 라클래시","서울특별시 강남구 삼성동 19-4 래미안 라클래시",7,679,"아파트","서울특별시 강남구 삼성로 651",679,20210917,164,372,112,31,1168010500,0,1211,"7호선, 9호선",0,0,2,2,2,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10024216","디에이치 자이 개포","서울특별시 강남구 일원동 611-1 디에이치 자이 개포",15,1996,"아파트","서울특별시 강남구 영동대로 22",1996,20210730,306,1198,486,6,1168011400,3113,0,"분당선",0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0
"A10024258","디에이치포레센트아파트","서울특별시 강남구 일원동 690-1 디에이치포레센트아파트",4,184,"아파트","서울특별시 강남구 개포로110길 38",184,20210122,39,80,65,0,1168011400,0,327,"3호선",1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A10024501","논현 기린힐스","서울특별시 강남구 논현동 130-9 논현 기린힐스",1,249,"아파트","서울특별시 강남구 논현로 661",249,20201030,249,0,0,0,1168010800,0,176,"7호선",1,0,1,1,1,0,0,0,0,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10024564","개포래미안포레스트","서울특별시 강남구 개포동 1282 개포래미안포레스트",31,2296,"아파트","서울특별시 강남구 개포로 264",2296,20200928,900,905,458,33,1168010300,8,3953,"3호선",1,1,0,1,1,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10025203","디에이치 아너힐즈","서울특별시 강남구 개포동 138 디에이치 아너힐즈",23,1320,"아파트","서울특별시 강남구 삼성로 11",1320,20190829,426,629,261,4,1168010300,0,2103,"분당선",1,1,1,1,2,1,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
"A10025675","래미안블레스티지","서울특별시 강남구 개포동 1280 래미안블레스티지",23,1957,"아파트","서울특별시 강남구 선릉로 8",1957,20190226,661,780,511,5,1168010300,0,3153,"3호선, 분당선",1,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10025823","래미안개포루체하임","서울특별시 강남구 일원동 690-2 래미안개포루체하임",12,850,"아파트","서울특별시 강남구 개포로110길 50",850,20181121,210,395,239,6,1168011400,0,1296,"3호선, 분당선",0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10026350","삼성동센트럴아이파크","서울특별시 강남구 삼성동 188 삼성동센트럴아이파크",4,416,"아파트","서울특별시 강남구 삼성로 629",416,20180330,115,204,75,22,1168010500,0,743,"7호선, 9호선",1,1,2,3,2,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
"A10026924","대치SK VIEW","서울특별시 강남구 대치동 1029 대치SK VIEW",4,239,"아파트","서울특별시 강남구 삼성로51길 25",239,20170620,4,104,131,0,1168010600,0,411,"분당선",0,0,0,0,0,1,0,0,1,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10027446","강남더샵포레스트","서울특별시 강남구 수서동 537 강남더샵포레스트",10,400,"아파트","서울특별시 강남구 광평로34길 35",400,20160727,0,0,204,196,1168011500,4,853,"3호선, 분당선",1,0,1,1,1,1,0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0
"A10027474","역삼자이아파트","서울특별시 강남구 역삼동 711-1 역삼자이아파트",3,408,"아파트","서울특별시 강남구 언주로 420",408,20160622,104,156,148,0,1168010100,0,615,"2호선, 분당선",0,0,0,0,0,1,0,0,0,0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
"A10027558","강남효성해링턴코트","서울특별시 강남구 세곡동 541 강남효성해링턴코트",11,199,"연립주택","서울특별시 강남구 자곡로7길 36-1",199,20160428,0,0,199,0,1168011100,0,398,"5호선, 분당선",1,0,1,1,1,0,0,1,0,0,1,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
