단지명,도로명
(828-21),서울특별시강남구테헤란로10길25
(828-76),서울특별시강남구테헤란로10길27
(977-),서울특별시강남구도곡로93길23
Bienestar,서울특별시강남구선릉로107길16
BRUNNEN청담,서울특별시강남구도산대로99길68
e-편한세상,서울특별시강남구봉은사로11길12
e-편한세상,서울특별시강남구선릉로69길20
LG선릉에클라트(A),서울특별시강남구선릉로100길42
LG선릉에클라트(B),서울특별시강남구테헤란로63길12
LH수서1단지아파트,서울특별시강남구밤고개로165
PH129,서울특별시강남구압구정로79길88
RudenHouse,서울특별시강남구강남대로162길41-8
SK허브프리모,서울특별시강남구강남대로240
SM드림빌,서울특별시강남구봉은사로61길34
S-TOWER,서울특별시강남구영동대로325
가람,서울특별시강남구일원로127
강남더샵포레스트,서울특별시강남구광평로34길35
강남데시앙파크,서울특별시강남구헌릉로590길63
강남데시앙파크,서울특별시강남구헌릉로590길
강남데시앙포레,서울특별시강남구광평로34길55
강남브리즈힐,서울특별시강남구자곡로3길45
강남상가,서울특별시강남구압구정로2길46
강남서해더블루,서울특별시강남구논현로63길16
강남센트럴아이파크,서울특별시강남구테헤란로44길26
강남신동아파밀리에1단지,서울특별시강남구헌릉로590길100
강남신동아파밀리에2단지,서울특별시강남구헌릉로590길10
강남엘에이치1단지,서울특별시강남구헌릉로571길20
강남역우정에쉐르,서울특별시강남구테헤란로10길10
강남웅진베어스빌,서울특별시강남구도곡로113
강남자곡아이파크,서울특별시강남구자곡로175
강남한솔,서울특별시강남구도곡로19길17
강남한신휴플러스6단지,서울특별시강남구
강남한신휴플러스6단지,서울특별시강남구밤고개로26길50
강남한신휴플러스8단지,서울특별시강남구밤고개로27길20
강남한양수자인,서울특별시강남구자곡로260
강변삼부아파트,서울특별시강남구봉은사로113길25
강변상지리츠빌,서울특별시강남구선릉로190길112
개나리4,서울특별시강남구언주로406
개나리SKVIEW,서울특별시강남구역삼로315-1
개나리래미안,서울특별시강남구역삼로306
개나리푸르지오,서울특별시강남구역삼로314
개포2차현대아파트,서울특별시강남구언주로103
개포6차우성아파트1동~8동,서울특별시강남구언주로3
개포더샵트리에,서울특별시강남구개포로311
개포래미안포레스트,서울특별시강남구개포로264
개포래미안포레스트,서울특별시강남구
개포1차2차우성,서울특별시강남구선릉로120
개포1차2차우성,서울특별시강남구선릉로120
개포우성3차,서울특별시강남구개포로307
개포자이,서울특별시강남구개포로109길69
개포자이르네,서울특별시강남구언주로7길6
개포주공1단지,서울특별시강남구개포로310
개포주공1단지,서울특별시강남구선릉로7
개포주공5단지,서울특별시강남구삼성로4길17
개포주공6단지,서울특별시강남구개포로516
개포주공7단지,서울특별시강남구개포로516
개포한신,서울특별시강남구개포로110길43
개포현대200동,서울특별시강남구언주로105
개포현대6차,서울특별시강남구개포로15길32-8
갤러리아트,서울특별시강남구언주로63길30
갤러리하우스,서울특별시강남구도곡로33길16
거평빌라트,서울특별시강남구도곡로17길12
거평프리젠,서울특별시강남구강남대로112길41
개포경남아파트,서울특별시강남구논현로209
경남1,서울특별시강남구언주로110
경남2차,서울특별시강남구언주로110
경남논현,서울특별시강남구언주로116길12
경남아너스빌,서울특별시강남구언주로85길13
경일역삼,서울특별시강남구논현로72길32
골든아트빌,서울특별시강남구삼성로135길28
골든카운티,서울특별시강남구학동로68길16
골든캐슬,서울특별시강남구도산대로54길48-8
공간쉐르빌,서울특별시강남구언주로63길32
구산,서울특별시강남구도산대로101길34
그라나다,서울특별시강남구선릉로112길74
그랑디오스,서울특별시강남구봉은사로51길18
그랜빌캐슬,서울특별시강남구남부순환로379길35
그린빌리지,서울특별시강남구논현로4길28
금광아크존(635-14),서울특별시강남구압구정로42길36
금호어울림,서울특별시강남구봉은사로111길25
금호어울림,서울특별시강남구도곡로7길22
