,bjdCode,codeAptNm,codeHallNm,codeHeatNm,codeMgrNm,codeSaleNm,doroJuso,hoCnt,kaptAcompany,kaptAddr,kaptBcompany,kaptCode,kaptDongCnt,kaptFax,kaptMarea,kaptMparea_135,kaptMparea_136,kaptMparea_60,kaptMparea_85,kaptName,kaptTarea,kaptTel,kaptUrl,kaptUsedate,kaptdaCnt,privArea
0,1168010100,아파트,계단식,지역난방,위탁관리,혼합,서울특별시 강남구 테헤란로44길 26,499,개나리4차 재건축조합,서울특별시 강남구 역삼동 712-1 강남센트럴아이파크,현대산업개발,A10023825,5,025087506,47840.057,166,25,100,208,강남센트럴아이파크,102103.254,025087504,admin.aptner.co.kr,20220428,499,47840.27
1,1168010100,아파트,계단식,지역난방,위탁관리,혼합,서울특별시 강남구 역삼로 315-1,240,개나리5차주택재건축정비조합,서울특별시 강남구 역삼동 716-3 개나리SKVIEW,SK건설,A13579506,3,025577732,31651.68,96,0,0,144,개나리SKVIEW,49201.26,025577730, ,20120817,240,24456
2,1168010100,주상복합,복도식,지역난방,위탁관리,분양,서울특별시 강남구 언주로 427,457,대우건설,서울특별시 강남구 역삼동 720-25 대우디오빌역삼,대우건설,A13592002,1,0221936004,34281.493,0,0,434,23,대우디오빌역삼,34281.493,0221936000, ,20020625,457,18737.983
3,1168010100,아파트,복도식,개별난방,위탁관리,분양,서울특별시 강남구 강남대로84길 33,168,플러스하우징,서울특별시 강남구 역삼동 824-25 대우디오빌플러스,대우건설,A13508003,1,0220500005,12448.08,0,0,168,0,대우디오빌플러스,12448.08,0220500001, ,20040525,168,6700.56
4,1168010100,아파트,계단식,지역난방,위탁관리,혼합,서울특별시 강남구 도곡로43길 21,464,삼성건설,서울특별시 강남구 역삼동 762-3 래미안그레이튼,삼성건설,A13508011,5,025582973,55307.302,182,0,94,188,래미안그레이튼,77893.714,025582981, ,20100604,464,42335.44
5,1168010100,아파트,계단식,지역난방,위탁관리,혼합,서울특별시 강남구 도곡로43길 20,476,진달래아파트3차 재건축조합,서울특별시 강남구 역삼동 763-16 래미안그레이튼3차,삼성물산,A13579505,8,0234530027,52943.79,0,74,121,281,래미안그레이튼3차,76688.31,0234536161, ,20091228,476,39854.66
6,1168010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 강남구 도곡로57길 12,150,신도곡아파트재건축조합,서울특별시 강남구 역삼동 765-32 역삼2차아이파크,현대산업개발(주),A13579503,3,0220516284,16102.2345,33,0,30,87,역삼2차아이파크,22883.04,0220516283,xn--2-em4f59iital3dm4lq3husf.apti.co.kr/,20081202,150,13090.646
7,1168010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 강남구 선릉로69길 20,840,(주)대림산업,서울특별시 강남구 역삼동 755-4 역삼e-편한세상,(주)대림산업,A13592605,12,025652917,75790.677,0,0,513,327,역삼e-편한세상,116730.145,025652911,역삼e-편한세상.apti.co.kr,20051216,840,58385.755
8,1168010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 강남구 역삼로 306,438,개나리래미안조합,서울특별시 강남구 역삼동 754 역삼개나리래미안,삼성,A13592601,7,025564476,57361.67,143,74,88,133,역삼개나리래미안,93113.21,025564420, ,20060831,438,44847.47
9,1168010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 강남구 역삼로 314,332,대우건설,서울특별시 강남구 역삼동 755-1 역삼개나리푸르지오,대우건설,A13579501,5,025646602,45096.913,85,78,67,102,역삼개나리푸르지오,70901.4764,025646600, ,20060814,332,35538.3408
10,1168010100,주상복합,계단식,개별난방,위탁관리,분양,서울특별시 강남구 언주로85길 13,164,역삼 주상복합조합,서울특별시 강남구 역삼동 722 역삼경남,경남기업,A13508002,1,025080566,18521.2,0,0,0,164,역삼경남,30232,025080500, ,20020501,164,13661.44
11,1168010100,아파트,계단식,개별난방,위탁관리,분양,서울특별시 강남구 도곡로7길 22,183,금호,서울특별시 강남구 역삼동 835-67 역삼금호어울림,금호산업(주),A13591402,3,025384769,25546.3,129,0,0,54,역삼금호어울림,36419.94,025384766, ,20031202,183,21796.31
12,1168010100,아파트,계단식,중앙난방,위탁관리,분양,서울특별시 강남구 선릉로 423,206,선릉123지여구택조합,서울특별시 강남구 역삼동 716 역삼동부센트레빌,동부건설(주),A13508004,1,025633543,20066.3,0,0,103,103,역삼동부센트레빌,25649,025633440, ,19980421,206,14922.52
13,1168010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 강남구 선릉로69길 19,1050,영동1재건축조합,서울특별시 강남구 역삼동 757 역삼래미안,삼성물산,A13592706,12,025396699,69465.86,0,0,722,328,역삼래미안,130700.592,025393003, ,20051026,1050,69465.86
14,1168010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 강남구 역삼로 309,288,삼성물산,서울특별시 강남구 역삼동 713-7 역삼래미안펜타빌,삼성물산,A13508006,5,025554651,42489.858,0,288,0,0,역삼래미안펜타빌,50041.156,025554534, ,20071130,288,42490.3
15,1168010100,주상복합,혼합식,개별난방,위탁관리,분양,서울특별시 강남구 테헤란로4길 46,166,한국자산신탁(주),서울특별시 강남구 역삼동 826-37 역삼쌍용플래티넘밸류,쌍용건설(주),A13508010,3,025558417,27969.512,56,0,0,110,역삼쌍용플래티넘밸류,27969.513,025578416,www.drapt.com,20070119,166,15705.94
16,1168010100,아파트,혼합식,지역난방,위탁관리,분양,서울특별시 강남구 역삼로 307,541,개나리2차저층재건축조합,서울특별시 강남구 역삼동 713-11 역삼아이파크,현대산업개발(주),A13508009,7,0260526912,65294.899,240,123,178,0,역삼아이파크,109796.715,025676910, ,20060928,541,52062.959
17,1168010100,아파트,혼합식,지역난방,위탁관리,혼합,서울특별시 강남구 언주로 420,408,개나리6차아파트주택재건축정비사업조합,서울특별시 강남구 역삼동 711-1 역삼자이아파트,GS건설,A10027474,3,025653655,51177.5074,148,0,104,156,역삼자이아파트,74559.65,025697651, ,20160622,408,36393.78
18,1168010100,아파트,계단식,지역난방,위탁관리,분양,서울특별시 강남구 언주로 332,738,.,서울특별시 강남구 역삼동 754-1 역삼푸르지오,대우건설,A13592604,11,025632218,67654.218,0,0,376,362,역삼푸르지오,99362.945,025632217, ,20060102,738,53253.9962
19,1168010100,아파트,복도식,개별난방,위탁관리,분양,서울특별시 강남구 도곡로3길 26,216,한일합섬,서울특별시 강남구 역삼동 836 역삼한스빌아파트,한일합섬,A13508005,1,025688079,12026.84,0,0,216,0,역삼한스빌아파트,17708.61,025088079, ,19961126,216,8575.59
20,1168010100,주상복합,복도식,개별난방,자치관리,혼합,서울특별시 강남구 논현로 565,160,현대산업개발,서울특별시 강남구 역삼동 606-18 역삼휴먼터치빌,현대산업개발,A13508001,1,025526839,9806.69,0,0,160,0,역삼휴먼터치빌,12415.23,025530050,www.humantouch.co.kr,19990619,160,4784.64
21,1168010100,아파트,계단식,지역난방,위탁관리,혼합,서울특별시 강남구 테헤란로52길 16,411,성보아파트주택재건축정비사업조합,서울특별시 강남구 역삼동 709 테헤란 IPARK,현대산업개발,A13508012,6,025551901,34736.5697,210,0,17,184,테헤란 IPARK,71703.92,025551992, ,20140124,411,34735.58
22,1168010100,주상복합,복도식,개별난방,위탁관리,분양,서울특별시 강남구 언주로86길 11,294,(주)한화건설,서울특별시 강남구 역삼동 706-20 한화진넥스빌,(주)한화건설,A13579504,1,025620797,12193.02,0,0,294,0,한화진넥스빌,26924,025557352, ,20010130,294,12172.02
23,1168010300,아파트,복도식,지역난방,위탁관리,임대,서울특별시 강남구 개포로109길 5,1623,남강개발,서울특별시 강남구 개포동 12 SH공사대치1단지,SH공사,A13593908,8,0234113267,67049.56,0,0,1623,0,SH공사대치1단지,73357,024514000,happy.i-sh.co.kr/main.do?deptid=20167,19911120,1623,46586.33
24,1168010300,아파트,계단식,지역난방,자치관리,분양,서울특별시 강남구 언주로 107,558,현대산업개발(주),서울특별시 강남구 개포동 654 개포2차 현대아파트,현대산업개발(주),A13524006,13,025721431,92376.66,230,216,0,112,개포2차 현대아파트,92836.185,025721441,현대2차.apti.co.kr,19860131,558,75527
25,1168010300,아파트,계단식,지역난방,자치관리,분양,서울특별시 강남구 언주로 110,678,경남건설,서울특별시 강남구 개포동 649 개포경남아파트,경남건설,A13580602,9,025724410,94971.66,387,288,0,3,개포경남아파트,102480,025724400, ,19840308,678,92546.465
26,1168010300,아파트,복도식,지역난방,위탁관리,분양,서울특별시 강남구 개포로109길 9,1753,서울특별시도시개발공사,서울특별시 강남구 개포동 12 개포대치2단지,성원건설.진덕산업주식회사,A13524009,11,024593805,100905.94,0,0,1753,0,개포대치2단지,105381.17,02-451-4533, ,19921014,1753,71852.9
